"ASV_ID","Reference_ID","Percent_identity","Alignment_length","Mismatches","Gap_opens","Query_length","Reference_length","E_value","Bit_score","Query_coverage","Functional_category","High_confidence"
"ASV00235","Atelopuslimosus-inhibitory_65",100,253,0,0,253,1401,9.05e-130,457,100,"inhibitory",TRUE
"ASV00237","Bufotyphonius-inhibitory_17",98.024,253,5,0,253,1197,1.03e-122,434,100,"inhibitory",TRUE
"ASV00238","Atelopuselegans-ns_3",97.628,253,6,0,253,1054,1.26e-121,430,100,"non-significant",TRUE
"ASV00240","Colostethuspanamensis-inhibitory_8",99.605,253,1,0,253,1195,3.85e-128,453,100,"inhibitory",TRUE
"ASV00250","Atelopuslimosus-enhancing_3",100,253,0,0,253,1400,9.05e-130,457,100,"enhancing",TRUE
"ASV00261","Smiliscasila-inhibitory_6",100,253,0,0,253,1262,9.05e-130,457,100,"inhibitory",TRUE
"ASV00266","Atelopuslimosus-inhibitory_18",98.024,253,5,0,253,1360,1.03e-122,434,100,"inhibitory",TRUE
"ASV00273","Silverstoneiaflotator-ns_1",98.814,253,3,0,253,1273,1.99e-125,444,100,"non-significant",TRUE
"ASV00286","Craugastorcrassidigitus-ns_19",98.419,253,4,0,253,1249,2.43e-124,439,100,"non-significant",TRUE
"ASV00288","Dendrobatesauratus-inhibitory_5",100,253,0,0,253,1245,9.05e-130,457,100,"inhibitory",TRUE
"ASV00301","Atelopuslimosus-inhibitory_18",97.233,253,7,0,253,1360,5.35e-120,425,100,"inhibitory",TRUE
"ASV00302","Hemidactylumscutatum-ns_14",98.024,253,4,1,253,1347,1.26e-121,431,100,"non-significant",TRUE
"ASV00311","Atelopuslimosus-enhancing_2",98.031,254,4,1,253,1377,3.61e-122,433,100,"enhancing",TRUE
"ASV00325","Atelopuslimosus-inhibitory_34",98.814,253,3,0,253,1349,1.99e-125,444,100,"inhibitory",TRUE
"ASV00340","Atelopuselegans-ns_3",98.024,253,5,0,253,1054,1.03e-122,434,100,"non-significant",TRUE
"ASV00342","Litoriaserrata-inhibitory_32",97.628,253,6,0,253,1372,1.26e-121,430,100,"inhibitory",TRUE
"ASV00347","Atelopuslimosus-inhibitory_27",100,253,0,0,253,1389,9.05e-130,457,100,"inhibitory",TRUE
"ASV00358","Espadaranaprosoblepon-ns_87",100,253,0,0,253,1239,9.05e-130,457,100,"non-significant",TRUE
"ASV00367","Smiliscasila-inhibitory_12",100,253,0,0,253,1286,9.05e-130,457,100,"inhibitory",TRUE
"ASV00374","Atelopuslimosus-inhibitory_18",98.024,253,5,0,253,1360,1.03e-122,434,100,"inhibitory",TRUE
"ASV00380","Dendrobatesauratus-inhibitory_16",100,253,0,0,253,1276,9.05e-130,457,100,"inhibitory",TRUE
"ASV00382","Atelopuslimosus-inhibitory_70",99.605,253,0,1,252,1405,4.67e-127,449,100,"inhibitory",TRUE
"ASV00384","Atelopusspurrelli-inhibitory_9",100,253,0,0,253,1412,9.05e-130,457,100,"inhibitory",TRUE
"ASV00393","Atelopuselegans-ns_3",97.233,253,7,0,253,1054,5.35e-120,425,100,"non-significant",TRUE
"ASV00398","Atelopuslimosus-inhibitory_67",100,253,0,0,253,1344,9.05e-130,457,100,"inhibitory",TRUE
"ASV00400","Atelopuselegans-ns_3",98.419,253,4,0,253,1054,2.43e-124,439,100,"non-significant",TRUE
"ASV00412","Atelopuslimosus-enhancing_2",98.031,254,4,1,253,1377,3.61e-122,433,100,"enhancing",TRUE
"ASV00423","Smiliscasordida-inhibitory_19",100,253,0,0,253,1290,9.05e-130,457,100,"inhibitory",TRUE
"ASV00424","Craugastorcrassidigitus-inhibitory_153",100,253,0,0,253,1282,9.05e-130,457,100,"inhibitory",TRUE
"ASV00437","Craugastorcrassidigitus-ns_19",100,253,0,0,253,1249,9.05e-130,457,100,"non-significant",TRUE
"ASV00440","Craugastorcrassidigitus-inhibitory_167",98.419,253,4,0,253,1281,2.43e-124,439,100,"inhibitory",TRUE
"ASV00442","Strabomantisbufoniformis-inhibitory_1",100,253,0,0,253,1159,9.05e-130,457,100,"inhibitory",TRUE
"ASV00444","Silverstoneiaflotator-ns_1",100,253,0,0,253,1273,9.05e-130,457,100,"non-significant",TRUE
"ASV00463","Smiliscasila-inhibitory_4",99.605,253,1,0,253,1291,3.85e-128,453,100,"inhibitory",TRUE
"ASV00467","Colostethuspanamensis-ns_4",100,253,0,0,253,1281,9.05e-130,457,100,"non-significant",TRUE
"ASV00470","Silverstoneiaflotator-inhibitory_41",99.209,253,2,0,253,1244,4.69e-127,448,100,"inhibitory",TRUE
"ASV00473","Atelopuslimosus-ns_1",98.814,253,3,0,253,1348,1.99e-125,444,100,"non-significant",TRUE
"ASV00474","Litoriarheocola-inhibitory_25",100,253,0,0,253,861,9.05e-130,457,100,"inhibitory",TRUE
"ASV00478","Hyalinobatrachiumcolymbiphyllum-ns_1",100,253,0,0,253,1373,9.05e-130,457,100,"non-significant",TRUE
"ASV00481","Smiliscasordida-ns_14",100,253,0,0,253,1291,9.05e-130,457,100,"non-significant",TRUE
"ASV00486","Ranamuscosa-inhibitory_93",100,253,0,0,253,1396,9.05e-130,457,100,"inhibitory",TRUE
"ASV00503","Craugastorcrassidigitus-inhibitory_142",99.194,248,2,0,253,1324,2.43e-124,439,98,"inhibitory",TRUE
"ASV00510","Ranamuscosa-inhibitory_63",100,253,0,0,253,1381,9.05e-130,457,100,"inhibitory",TRUE
"ASV00511","Smiliscasordida-enhancing_9",100,253,0,0,253,1286,9.05e-130,457,100,"enhancing",TRUE
"ASV00513","Silverstoneiaflotator-ns_1",99.209,253,2,0,253,1273,4.69e-127,448,100,"non-significant",TRUE
"ASV00523","Silverstoneiaflotator-inhibitory_23",99.605,253,1,0,253,1185,3.85e-128,453,100,"inhibitory",TRUE
"ASV00533","Silverstoneiaflotator-inhibitory_41",98.419,253,4,0,253,1244,2.43e-124,439,100,"inhibitory",TRUE
"ASV00540","Litoriarheocola-inhibitory_25",98.419,253,4,0,253,861,2.43e-124,439,100,"inhibitory",TRUE
"ASV00549","Espadaranaprosoblepon-ns_22",100,253,0,0,253,1379,9.05e-130,457,100,"non-significant",TRUE
"ASV00552","Strabomantisbufoniformis-inhibitory_2",100,253,0,0,253,1234,9.05e-130,457,100,"inhibitory",TRUE
"ASV00560","Smiliscasordida-inhibitory_34",100,253,0,0,253,1241,9.05e-130,457,100,"inhibitory",TRUE
"ASV00565","Strabomantisbufoniformis-inhibitory_7",98.814,253,3,0,253,1266,1.99e-125,444,100,"inhibitory",TRUE
"ASV00566","Atelopuslimosus-ns_6",97.233,253,7,0,253,1343,5.35e-120,425,100,"non-significant",TRUE
"ASV00592","Smiliscasordida-inhibitory_44",97.628,253,5,1,253,1285,1.53e-120,426,100,"inhibitory",TRUE
"ASV00599","Atelopuselegans-ns_3",97.628,253,6,0,253,1054,1.26e-121,430,100,"non-significant",TRUE
"ASV00601","Hyalinobatrachiumcolymbiphyllum-ns_1",99.605,253,1,0,253,1373,3.85e-128,453,100,"non-significant",TRUE
"ASV00604","Smiliscasordida-inhibitory_11",99.209,253,2,0,253,1250,4.69e-127,448,100,"inhibitory",TRUE
"ASV00608","Strabomantisbufoniformis-inhibitory_2",99.209,253,2,0,253,1234,4.69e-127,448,100,"inhibitory",TRUE
"ASV00626","Litoriaserrata-inhibitory_32",97.233,253,7,0,253,1372,5.35e-120,425,100,"inhibitory",TRUE
"ASV00628","Atelopuslimosus-inhibitory_34",98.024,253,5,0,253,1349,1.03e-122,434,100,"inhibitory",TRUE
"ASV00638","Atelopuslimosus-enhancing_2",98.031,254,4,1,253,1377,3.61e-122,433,100,"enhancing",TRUE
"ASV00640","Litoriaserrata-inhibitory_32",98.024,253,5,0,253,1372,1.03e-122,434,100,"inhibitory",TRUE
"ASV00641","Silverstoneiaflotator-ns_1",98.024,253,5,0,253,1273,1.03e-122,434,100,"non-significant",TRUE
"ASV00643","Silverstoneiaflotator-inhibitory_41",99.605,253,1,0,253,1244,3.85e-128,453,100,"inhibitory",TRUE
"ASV00651","Atelopuslimosus-inhibitory_18",97.628,253,6,0,253,1360,1.26e-121,430,100,"inhibitory",TRUE
"ASV00659","Hemidactylumscutatum-ns_8",98.419,253,4,0,253,1296,2.43e-124,439,100,"non-significant",TRUE
"ASV00663","Strabomantisbufoniformis-ns_4",97.628,253,6,0,253,1261,1.26e-121,430,100,"non-significant",TRUE
"ASV00681","Atelopuselegans-ns_3",100,253,0,0,253,1054,9.05e-130,457,100,"non-significant",TRUE
"ASV00687","Silverstoneiaflotator-ns_1",97.628,253,6,0,253,1273,1.26e-121,430,100,"non-significant",TRUE
"ASV00693","Atelopuselegans-ns_3",97.628,253,6,0,253,1054,1.26e-121,430,100,"non-significant",TRUE
"ASV00699","Craugastorcrassidigitus-inhibitory_167",100,253,0,0,253,1281,9.05e-130,457,100,"inhibitory",TRUE
"ASV00701","Hemidactylumscutatum-ns_14",99.605,253,0,1,253,1347,4.69e-127,449,100,"non-significant",TRUE
"ASV00704","Hemidactylumscutatum-inhibitory_12",97.233,253,7,0,253,848,5.35e-120,425,100,"inhibitory",TRUE
"ASV00707","Plethodoncinereus-ns_13",100,253,0,0,253,1366,9.05e-130,457,100,"non-significant",TRUE
"ASV00711","Atelopuselegans-ns_3",99.605,253,1,0,253,1054,3.85e-128,453,100,"non-significant",TRUE
"ASV00717","Atelopuselegans-ns_3",97.628,253,6,0,253,1054,1.26e-121,430,100,"non-significant",TRUE
"ASV00724","Plethodoncinereus-ns_13",99.209,253,2,0,253,1366,4.69e-127,448,100,"non-significant",TRUE
"ASV00725","Allobatestalamancae-inhibitory_8",99.603,252,1,0,252,1206,1.34e-127,451,100,"inhibitory",TRUE
"ASV00738","Litoriaserrata-inhibitory_32",97.628,253,6,0,253,1372,1.26e-121,430,100,"inhibitory",TRUE
"ASV00744","Craugastorcrassidigitus-inhibitory_105",99.209,253,2,0,253,879,4.69e-127,448,100,"inhibitory",TRUE
"ASV00764","Atelopuslimosus-ns_1",98.024,253,5,0,253,1348,1.03e-122,434,100,"non-significant",TRUE
"ASV00778","Litorianannotis-ns_1",97.233,253,7,0,253,1333,5.35e-120,425,100,"non-significant",TRUE
"ASV00780","Atelopuslimosus-inhibitory_34",99.209,253,2,0,253,1349,4.69e-127,448,100,"inhibitory",TRUE
"ASV00783","Smiliscasordida-ns_10",100,253,0,0,253,1287,9.05e-130,457,100,"non-significant",TRUE
"ASV00784","Atelopuslimosus-ns_8",98.814,253,3,0,253,656,1.99e-125,444,100,"non-significant",TRUE
"ASV00788","Agalychniscallidryas-ns_47",97.233,253,7,0,253,1246,5.35e-120,425,100,"non-significant",TRUE
"ASV00795","Silverstoneiaflotator-ns_1",97.233,253,7,0,253,1273,5.35e-120,425,100,"non-significant",TRUE
"ASV00805","Ranamuscosa-inhibitory_83",97.628,253,6,0,253,1379,1.26e-121,430,100,"inhibitory",TRUE
"ASV00817","Leiopelmaarcheyi-ns_13",100,253,0,0,253,1353,9.05e-130,457,100,"non-significant",TRUE
"ASV00826","Atelopuslimosus-ns_8",97.628,253,6,0,253,656,1.26e-121,430,100,"non-significant",TRUE
"ASV00833","Atelopuslimosus-inhibitory_18",98.419,253,4,0,253,1360,2.43e-124,439,100,"inhibitory",TRUE
"ASV00837","Agalychniscallidryas-ns_47",97.233,253,7,0,253,1246,5.35e-120,425,100,"non-significant",TRUE
"ASV00840","Smiliscasordida-inhibitory_3",98.425,254,4,0,254,1271,6.99e-125,441,100,"inhibitory",TRUE
"ASV00841","Colostethuspanamensis-enhancing_1",100,252,0,0,252,1265,3.15e-129,455,100,"enhancing",TRUE
"ASV00846","Hemidactylumscutatum-ns_6",99.209,253,2,0,253,1287,4.69e-127,448,100,"non-significant",TRUE
"ASV00849","Espadaranaprosoblepon-inhibitory_27",100,253,0,0,253,1390,9.05e-130,457,100,"inhibitory",TRUE
"ASV00853","Smiliscasordida-ns_9",98.024,253,5,0,253,1286,1.03e-122,434,100,"non-significant",TRUE
"ASV00866","Atelopuslimosus-ns_6",98.024,253,5,0,253,1343,1.03e-122,434,100,"non-significant",TRUE
"ASV00901","Espadaranaprosoblepon-ns_30",98.419,253,4,0,253,1290,2.43e-124,439,100,"non-significant",TRUE
"ASV00909","Atelopuslimosus-inhibitory_18",98.419,253,4,0,253,1360,2.43e-124,439,100,"inhibitory",TRUE
"ASV00915","Smiliscasordida-inhibitory_11",98.024,253,5,0,253,1250,1.03e-122,434,100,"inhibitory",TRUE
"ASV00921","Litoriaserrata-inhibitory_32",97.233,253,7,0,253,1372,5.35e-120,425,100,"inhibitory",TRUE
"ASV00926","Atelopuslimosus-enhancing_2",98.819,254,2,1,253,1377,6.96e-125,442,100,"enhancing",TRUE
"ASV00928","Smiliscasordida-inhibitory_3",99.213,254,2,0,254,1271,1.35e-127,450,100,"inhibitory",TRUE
"ASV00932","Atelopuselegans-ns_3",97.233,253,7,0,253,1054,5.35e-120,425,100,"non-significant",TRUE
"ASV00933","Atelopuslimosus-enhancing_2",98.425,254,3,1,253,1377,8.48e-124,437,100,"enhancing",TRUE
"ASV00939","Atelopuslimosus-inhibitory_64",99.209,253,2,0,253,682,4.69e-127,448,100,"inhibitory",TRUE
"ASV00949","Litorianannotis-inhibitory_55",100,253,0,0,253,1406,9.05e-130,457,100,"inhibitory",TRUE
"ASV00959","Atelopuslimosus-ns_8",98.024,253,5,0,253,656,1.03e-122,434,100,"non-significant",TRUE
"ASV00978","Silverstoneiaflotator-inhibitory_4",98.419,253,4,0,253,1373,2.43e-124,439,100,"inhibitory",TRUE
"ASV01003","Bufotyphonius-inhibitory_22",100,253,0,0,253,1214,9.05e-130,457,100,"inhibitory",TRUE
"ASV01022","Agalychniscallidryas-ns_47",97.628,253,6,0,253,1246,1.26e-121,430,100,"non-significant",TRUE
"ASV01024","Litoriaserrata-inhibitory_39",100,253,0,0,253,1399,9.05e-130,457,100,"inhibitory",TRUE
"ASV01027","Atelopuslimosus-inhibitory_34",100,253,0,0,253,1349,9.05e-130,457,100,"inhibitory",TRUE
"ASV01039","Dendrobatesauratus-inhibitory_23",100,253,0,0,253,1296,9.05e-130,457,100,"inhibitory",TRUE
"ASV01043","Smiliscasordida-inhibitory_3",98.425,254,4,0,254,1271,6.99e-125,441,100,"inhibitory",TRUE
"ASV01053","Plethodoncinereus-ns_13",97.233,253,7,0,253,1366,5.35e-120,425,100,"non-significant",TRUE
"ASV01054","Dendrobatesauratus-inhibitory_19",100,253,0,0,253,1339,9.05e-130,457,100,"inhibitory",TRUE
"ASV01060","Smiliscasordida-inhibitory_3",99.213,254,2,0,254,1271,1.35e-127,450,100,"inhibitory",TRUE
"ASV01064","Allobatestalamancae-inhibitory_4",97.233,253,7,0,253,1232,5.35e-120,425,100,"inhibitory",TRUE
"ASV01079","Allobatestalamancae-inhibitory_4",100,253,0,0,253,1232,9.05e-130,457,100,"inhibitory",TRUE
"ASV01081","Atelopuslimosus-inhibitory_18",97.233,253,7,0,253,1360,5.35e-120,425,100,"inhibitory",TRUE
"ASV01083","Dendrobatesauratus-ns_2",100,253,0,0,253,1180,9.05e-130,457,100,"non-significant",TRUE
"ASV01089","Smiliscasordida-inhibitory_15",98.024,253,5,0,253,1277,1.03e-122,434,100,"inhibitory",TRUE
"ASV01090","Atelopuslimosus-inhibitory_67",99.209,253,2,0,253,1344,4.69e-127,448,100,"inhibitory",TRUE
"ASV01100","Agalychniscallidryas-ns_41",98.419,253,4,0,253,1357,2.43e-124,439,100,"non-significant",TRUE
"ASV01105","Espadaranaprosoblepon-ns_3",98.814,253,3,0,253,1414,1.99e-125,444,100,"non-significant",TRUE
"ASV01110","Litoriaserrata-inhibitory_32",100,253,0,0,253,1372,9.05e-130,457,100,"inhibitory",TRUE
"ASV01123","Silverstoneiaflotator-inhibitory_22",98.024,253,5,0,253,1211,1.03e-122,434,100,"inhibitory",TRUE
"ASV01124","Agalychniscallidryas-ns_46",98.824,255,0,3,253,1438,2.96e-123,436,100,"non-significant",TRUE
"ASV01140","Atelopuselegans-ns_3",97.233,253,7,0,253,1054,5.35e-120,425,100,"non-significant",TRUE
"ASV01149","Silverstoneiaflotator-inhibitory_29",100,253,0,0,253,1255,9.05e-130,457,100,"inhibitory",TRUE
"ASV01156","Allobatestalamancae-inhibitory_8",100,252,0,0,252,1206,3.15e-129,455,100,"inhibitory",TRUE
"ASV01160","Silverstoneiaflotator-ns_1",99.209,253,2,0,253,1273,4.69e-127,448,100,"non-significant",TRUE
"ASV01169","Plethodoncinereus-ns_13",99.605,253,1,0,253,1366,3.85e-128,453,100,"non-significant",TRUE
"ASV01172","Atelopuslimosus-ns_8",98.024,253,5,0,253,656,1.03e-122,434,100,"non-significant",TRUE
"ASV01182","Silverstoneiaflotator-inhibitory_36",100,253,0,0,253,1280,9.05e-130,457,100,"inhibitory",TRUE
"ASV01184","Allobatestalamancae-ns_3",97.628,253,6,0,253,1224,1.26e-121,430,100,"non-significant",TRUE
"ASV01204","Atelopuslimosus-ns_7",98.814,253,3,0,253,1351,1.99e-125,444,100,"non-significant",TRUE
"ASV01209","Atelopusspurrelli-ns_3",100,253,0,0,253,1400,9.05e-130,457,100,"non-significant",TRUE
"ASV01211","Craugastorcrassidigitus-ns_21",100,253,0,0,253,1227,9.05e-130,457,100,"non-significant",TRUE
"ASV01229","Agalychniscallidryas-ns_46",98.039,255,2,3,253,1438,1.53e-120,427,100,"non-significant",TRUE
"ASV01230","Espadaranaprosoblepon-ns_15",100,253,0,0,253,1360,9.05e-130,457,100,"non-significant",TRUE
"ASV01233","Agalychniscallidryas-inhibitory_14",99.206,252,2,0,252,1450,1.63e-126,446,100,"inhibitory",TRUE
"ASV01249","Craugastorcrassidigitus-ns_6",97.244,254,6,1,253,1315,1.87e-119,424,100,"non-significant",TRUE
"ASV01251","Atelopuselegans-ns_3",97.233,253,7,0,253,1054,5.35e-120,425,100,"non-significant",TRUE
"ASV01285","Hemidactylumscutatum-ns_3",99.209,253,2,0,253,1370,4.69e-127,448,100,"non-significant",TRUE
"ASV01294","Espadaranaprosoblepon-ns_3",100,253,0,0,253,1414,9.05e-130,457,100,"non-significant",TRUE
"ASV01297","Craugastorcrassidigitus-ns_6",99.606,254,0,1,253,1315,1.34e-127,451,100,"non-significant",TRUE
"ASV01310","Silverstoneiaflotator-inhibitory_4",100,253,0,0,253,1373,9.05e-130,457,100,"inhibitory",TRUE
"ASV01321","Agalychniscallidryas-ns_8",99.213,254,1,1,253,1050,1.64e-126,446,100,"non-significant",TRUE
"ASV01325","Atelopuslimosus-ns_1",98.814,253,3,0,253,1348,1.99e-125,444,100,"non-significant",TRUE
"ASV01328","Atelopuselegans-ns_3",98.024,253,5,0,253,1054,1.03e-122,434,100,"non-significant",TRUE
"ASV01333","Agalychniscallidryas-ns_47",97.628,253,6,0,253,1246,1.26e-121,430,100,"non-significant",TRUE
"ASV01335","Silverstoneiaflotator-inhibitory_4",98.814,253,3,0,253,1373,1.99e-125,444,100,"inhibitory",TRUE
"ASV01374","Litoriarheocola-inhibitory_25",98.024,253,5,0,253,861,1.03e-122,434,100,"inhibitory",TRUE
"ASV01378","Ranamuscosa-inhibitory_83",98.419,253,4,0,253,1379,2.43e-124,439,100,"inhibitory",TRUE
"ASV01384","Silverstoneiaflotator-inhibitory_28",99.209,253,2,0,253,1287,4.69e-127,448,100,"inhibitory",TRUE
"ASV01395","Hyalinobatrachiumcolymbiphyllum-inhibitory_17",98.814,253,3,0,253,845,1.99e-125,444,100,"inhibitory",TRUE
"ASV01397","Craugastorcrassidigitus-inhibitory_143",98.419,253,4,0,253,1262,2.43e-124,439,100,"inhibitory",TRUE
"ASV01406","Hemidactylumscutatum-ns_7",97.628,253,6,0,253,1307,1.26e-121,430,100,"non-significant",TRUE
"ASV01414","Atelopuslimosus-ns_8",98.814,253,3,0,253,656,1.99e-125,444,100,"non-significant",TRUE
"ASV01417","Hemidactylumscutatum-ns_4",99.209,253,2,0,253,1370,4.69e-127,448,100,"non-significant",TRUE
"ASV01420","Litorianannotis-ns_1",97.628,253,6,0,253,1333,1.26e-121,430,100,"non-significant",TRUE
"ASV01424","Smiliscasordida-inhibitory_34",97.984,248,5,0,253,1241,5.35e-120,425,98,"inhibitory",TRUE
"ASV01425","Agalychniscallidryas-ns_47",97.233,253,7,0,253,1246,5.35e-120,425,100,"non-significant",TRUE
"ASV01442","Espadaranaprosoblepon-ns_30",98.419,253,4,0,253,1290,2.43e-124,439,100,"non-significant",TRUE
"ASV01446","Smiliscasordida-inhibitory_15",98.419,253,4,0,253,1277,2.43e-124,439,100,"inhibitory",TRUE
"ASV01466","Agalychniscallidryas-ns_9",98.819,254,2,1,253,1421,6.96e-125,442,100,"non-significant",TRUE
