"taxon","W","p_val","q_val","diff_abn","passed_ss","diff_robust_abn","kw.ep","kw.eBH","glm.ep","glm.eBH","ANCOMBC2_robust_FDR05","ALDEx2_FDR05","Method_agreement"
"Unclassified_Bacillaceae",15.4670427214812,2.22370792450497e-06,1.10361800697654e-05,TRUE,TRUE,TRUE,7.07183694290413e-05,0.00169363998286754,5.84182037041924e-05,0.000654433155319075,TRUE,TRUE,"Both"
"Bacillus",16.6163682870167,3.58704918640355e-06,1.71665925349313e-05,TRUE,TRUE,TRUE,0.00113741370756579,0.00848024339456087,0.00167800213511926,0.00791436251453055,TRUE,TRUE,"Both"
"Anoxybacillus",15.2147303250359,3.81481963910698e-06,1.76270976427702e-05,TRUE,TRUE,TRUE,0.000161113619065556,0.00271045625643146,0.00101163729143329,0.00585050471952096,TRUE,TRUE,"Both"
"Paracoccus",18.9030437093999,7.0939811159207e-06,3.16864489844458e-05,TRUE,TRUE,TRUE,0.0427371265369141,0.112804096291238,0.0583659154341646,0.133722871802417,TRUE,FALSE,"ANCOM-BC2 only"
"Brevundimonas",14.3057873121725,7.71177433766891e-06,3.33347664918592e-05,TRUE,TRUE,TRUE,0.00134541588198861,0.0095592304243841,0.00951458029145379,0.032547535213701,TRUE,TRUE,"Both"
"Micrococcus",15.3715719293005,9.95900185315369e-06,4.17033202600811e-05,TRUE,TRUE,TRUE,0.00103259940700724,0.00774339855546675,0.00208093512922325,0.00931271671448844,TRUE,TRUE,"Both"
"Enterococcus",12.1837463383806,1.67708271529781e-05,6.80997223787595e-05,TRUE,TRUE,TRUE,6.16502434389611e-05,0.00158492889753284,0.00012517454990916,0.00124127711208595,TRUE,TRUE,"Both"
"Clostridium sensu stricto 10",14.0231502599356,1.81671145215454e-05,7.15998042907965e-05,TRUE,TRUE,TRUE,0.000260711689171742,0.00349396043258617,0.000148858457784976,0.00128946663270366,TRUE,TRUE,"Both"
"Devosia",12.7950574585257,2.08180080255113e-05,7.97032307262434e-05,TRUE,FALSE,FALSE,0.1071586844772,0.226031660780643,0.265885487412548,0.399015431305682,FALSE,FALSE,"Neither"
"Iamia",16.7377016551741,2.23993434282335e-05,8.33753338717581e-05,TRUE,TRUE,TRUE,0.0667366467222639,0.15795603867222,0.106314655451267,0.208894588598748,TRUE,FALSE,"ANCOM-BC2 only"
"Unclassified_Planococcaceae",11.7429807336315,2.35546832863034e-05,8.53061502801257e-05,TRUE,TRUE,TRUE,8.04694509969022e-05,0.00179584532900948,7.94527595004717e-05,0.000937131064397231,TRUE,TRUE,"Both"
"Nocardioides",11.5392962555824,2.76109341001622e-05,9.73648728795193e-05,TRUE,FALSE,FALSE,0.171463184905248,0.310819658574048,0.306219756818039,0.444323587823782,FALSE,FALSE,"Neither"
"Unclassified_Roseiflexaceae",14.154541380346,3.23361101557999e-05,0.00011110355797121,TRUE,FALSE,FALSE,0.567753572018259,0.676835352841977,0.682594417025771,0.767011823472773,FALSE,FALSE,"Neither"
"Tepidiphilus",11.6296983276208,3.55168266580505e-05,0.000118981369304469,TRUE,TRUE,TRUE,0.00297812729325386,0.0165669908359227,0.00928286967514992,0.032189736609538,TRUE,TRUE,"Both"
"Unclassified_Mitochondria",10.8256370302619,4.00757279377201e-05,0.000130979208381817,TRUE,TRUE,TRUE,0.000533342705505075,0.00560813592242848,1.0549876693301e-05,0.000218138734724068,TRUE,TRUE,"Both"
"Unclassified_Gemmataceae",11.9504900244044,4.58667640711693e-05,0.000146336818703254,TRUE,FALSE,FALSE,0.434499606893798,0.569805448501896,0.5715765329161,0.68347890116923,FALSE,FALSE,"Neither"
"Unclassified_Sphingomonadaceae",10.6714515425949,6.80188925606913e-05,0.000211965851235643,TRUE,FALSE,FALSE,0.127428721605347,0.256631933765364,0.484994188459429,0.624802980971974,FALSE,FALSE,"Neither"
"Unclassified_JG30-KF-CM45",10.913568391016,9.41668230587674e-05,0.000286780779315337,TRUE,FALSE,FALSE,0.371220930968257,0.50886023944363,0.372686781761063,0.505455268859401,FALSE,FALSE,"Neither"
"Unclassified_Beijerinckiaceae",10.0045989331733,0.000123593662063372,0.000368034460366485,TRUE,FALSE,FALSE,0.229188852525549,0.376469258089481,0.385014238759691,0.534174979439502,FALSE,FALSE,"Neither"
"P3OB-42",10.699034759452,0.000133354245550365,0.000388466715298891,TRUE,TRUE,TRUE,0.00485018234935924,0.0228323481240771,0.00340037630119657,0.0167444033573595,TRUE,TRUE,"Both"
"IheB3-7",11.2172828732806,0.000150049113910389,0.000427121182630202,TRUE,TRUE,TRUE,0.000439294963998041,0.00467423935434838,0.000211595638504701,0.00174757323609161,TRUE,TRUE,"Both"
"Aureimonas",9.55487208360361,0.000156186104096119,0.000427121182630202,TRUE,TRUE,TRUE,0.0829747811700742,0.192324573443719,0.056963122934663,0.134206807225436,TRUE,FALSE,"ANCOM-BC2 only"
"Anaerococcus",11.883840622975,0.000155847606683394,0.000427121182630202,TRUE,TRUE,TRUE,0.146906509642633,0.272190802562034,0.139064148659431,0.249991111286671,TRUE,FALSE,"ANCOM-BC2 only"
"Rhodococcus",11.5647216786418,0.000160369509893489,0.000429790286514551,TRUE,FALSE,FALSE,0.403932756395891,0.540737107908046,0.538978964287446,0.65380110449788,FALSE,FALSE,"Neither"
"Paenibacillus",10.4442176694563,0.000195642771989041,0.000514041793069245,TRUE,FALSE,FALSE,0.266361996491891,0.411982028160385,0.29597100832319,0.432362995459245,FALSE,FALSE,"Neither"
"Pedobacter",12.0476434790668,0.000200225028023492,0.000515964495291306,TRUE,FALSE,FALSE,0.262964822446383,0.405970308824957,0.34479587482734,0.484219562284978,FALSE,FALSE,"Neither"
"Flavobacterium",10.3639787180195,0.000206549246056963,0.000522218848521378,TRUE,TRUE,TRUE,0.103939096601139,0.214473819877448,0.129055559512216,0.238398188737775,TRUE,FALSE,"ANCOM-BC2 only"
"Unclassified_Xanthobacteraceae",9.65907166184951,0.000217357207898345,0.000539367886266262,TRUE,FALSE,FALSE,0.174875472246909,0.311373441820347,0.356305012812961,0.484080809407619,FALSE,FALSE,"Neither"
"Gaiella",14.1786562075418,0.000317524433283333,0.000773604982908483,TRUE,FALSE,FALSE,0.29068277183771,0.416967050763643,0.33681710003187,0.457899588682751,FALSE,FALSE,"Neither"
"Unclassified_Kineosporiaceae",12.0392034603629,0.00036105149112446,0.000863944639476387,TRUE,FALSE,FALSE,0.190293984943858,0.3285227321992,0.205541344316481,0.339521942837346,FALSE,FALSE,"Neither"
"Unclassified_Alcaligenaceae",9.33088727039191,0.000571164004972214,0.0013427364327417,TRUE,TRUE,TRUE,8.16349056250311e-05,0.00178066772555351,0.00021574902051032,0.000941742087862071,TRUE,TRUE,"Both"
"Haliangium",8.23915759249136,0.000627181791312307,0.00144900620751464,TRUE,TRUE,TRUE,0.00478762850601314,0.0232146118063786,0.0322889730038634,0.0926063531345237,TRUE,TRUE,"Both"
"Pseudoxanthomonas",10.1971479046949,0.00064290530494147,0.001460157811223,TRUE,FALSE,FALSE,0.21808213365151,0.3545064805875,0.247671711613969,0.381458694544687,FALSE,FALSE,"Neither"
"Unclassified_Neisseriaceae",12.9372944889204,0.000671899897372286,0.00147597682373584,TRUE,TRUE,TRUE,0.02347688320922,0.0693202479937343,0.01477503516946,0.0437689696451796,TRUE,FALSE,"ANCOM-BC2 only"
"Granulicella",11.1859419730759,0.00066540001366902,0.00147597682373584,TRUE,FALSE,FALSE,0.320822351769475,0.4558508665805,0.344256284822979,0.479671745983121,FALSE,FALSE,"Neither"
"Rhodopseudomonas",9.15138765365338,0.000803596238971427,0.00173680477455115,TRUE,TRUE,TRUE,0.0688850849336546,0.164916444926676,0.114279020106694,0.22552032226309,TRUE,FALSE,"ANCOM-BC2 only"
"Candidatus Alysiosphaera",7.8521688144313,0.000972675026646521,0.00203653833704115,TRUE,TRUE,TRUE,0.0628520916370539,0.156379673395646,0.166624704714383,0.301836585849698,TRUE,FALSE,"ANCOM-BC2 only"
"Roseomonas",8.44152766548938,0.000960788346911622,0.00203653833704115,TRUE,FALSE,FALSE,0.279113803811986,0.420778465651784,0.356440969339447,0.490256378016013,FALSE,FALSE,"Neither"
"Oligoflexus",7.7674519067483,0.00145787053611082,0.00298370025559031,TRUE,FALSE,FALSE,0.0274858512413156,0.0817801253562295,0.0797066879335393,0.160068351367416,FALSE,FALSE,"Neither"
"Caulobacter",8.77855594294943,0.00146958370797732,0.00298370025559031,TRUE,FALSE,FALSE,0.548805800417415,0.654535247644179,0.520014729938798,0.634019762210756,FALSE,FALSE,"Neither"
"Candidatus Udaeobacter",7.94900100225467,0.00149731037034904,0.00299462074069807,TRUE,TRUE,TRUE,0.000922829853314428,0.00765475130043279,0.00261381351299185,0.0136431294469139,TRUE,TRUE,"Both"
"Sphingobium",7.29958649899976,0.00162856345510545,0.00316271743455261,TRUE,TRUE,TRUE,0.00420831751763628,0.0211258277348266,0.0078572212366659,0.0321841082549998,TRUE,TRUE,"Both"
"Curtobacterium",8.42834352755383,0.00161561881875689,0.00316271743455261,TRUE,TRUE,TRUE,0.0155050197750247,0.0538205690830252,0.0178306534139955,0.0555966447104861,TRUE,FALSE,"ANCOM-BC2 only"
"Byssovorax",8.04877153085934,0.00185614698447536,0.00355319565599569,TRUE,TRUE,TRUE,0.0237586711565112,0.0765498270964968,0.0347887290681079,0.0944205783909463,TRUE,FALSE,"ANCOM-BC2 only"
"Bryobacter",7.05715286969578,0.00223466669929508,0.00421753996768367,TRUE,TRUE,TRUE,0.00249774359128622,0.0144808152098823,0.0100969006238181,0.0382552798563435,TRUE,TRUE,"Both"
"Psychroglaciecola",6.69916332677362,0.00235414855386868,0.00438133203081116,TRUE,TRUE,TRUE,0.0970387575514031,0.21170234778284,0.23722755844846,0.381152087161373,TRUE,FALSE,"ANCOM-BC2 only"
"Hymenobacter",7.02915717813692,0.00258911381162892,0.00475261987340103,TRUE,FALSE,FALSE,0.651131889853146,0.744398026639847,0.662704374257132,0.752010884242384,FALSE,FALSE,"Neither"
"Unclassified_Rhizobiaceae",6.38407643718717,0.00279097259568434,0.00505392334894191,TRUE,FALSE,FALSE,0.147264044018204,0.282397636126769,0.129437135426861,0.259785176305713,FALSE,FALSE,"Neither"
"Solirubrobacter",6.56190984361803,0.00320144851519708,0.00571992134715212,TRUE,TRUE,TRUE,0.0828572399064083,0.186854791974175,0.127970509658177,0.229994290032959,TRUE,FALSE,"ANCOM-BC2 only"
"Unclassified_Microbacteriaceae",6.47733897405919,0.00327909273680332,0.00578155824646901,TRUE,FALSE,FALSE,0.287365327142069,0.432317657449177,0.544851074650245,0.65791895918069,FALSE,FALSE,"Neither"
"Taibaiella",7.20096090617483,0.00333580822812026,0.00580517276062486,TRUE,FALSE,FALSE,0.145918899733565,0.270541610992735,0.234241235761117,0.36189138376203,FALSE,FALSE,"Neither"
"Microvirga",7.27572985951097,0.00347415668683878,0.00596842302610765,TRUE,FALSE,FALSE,0.592033812559347,0.696651342755136,0.564645900459597,0.67328258231963,FALSE,FALSE,"Neither"
"Knoellia",6.60591426648176,0.00442051748920062,0.00749809295636562,TRUE,FALSE,FALSE,0.490574354510408,0.618026847833918,0.574403316908857,0.68810838793572,FALSE,FALSE,"Neither"
"Streptomyces",6.15266110277402,0.00721375025175957,0.0120830316716973,TRUE,FALSE,FALSE,0.527679936306206,0.648501660749778,0.431896938016237,0.570285433248227,FALSE,FALSE,"Neither"
"Labrys",5.83606559691511,0.00812604168055884,0.01338001245688,TRUE,TRUE,TRUE,0.223223871772249,0.368932955367079,0.158130886249077,0.294938078516814,TRUE,FALSE,"ANCOM-BC2 only"
"Terriglobus",5.45129836337565,0.0082137358470554,0.01338001245688,TRUE,TRUE,TRUE,0.264000139701076,0.412851516834657,0.21809235717603,0.371958117369782,TRUE,FALSE,"ANCOM-BC2 only"
"Rothia",6.59220343475631,0.00828761965612718,0.01338001245688,TRUE,FALSE,FALSE,0.758370157472227,0.821260103291375,0.702135984273534,0.785818395265783,FALSE,FALSE,"Neither"
"Phenylobacterium",6.37897809008728,0.00858875499331023,0.0137011091559949,TRUE,TRUE,TRUE,0.0983614340161058,0.197882501905073,0.129091202445067,0.228433256598173,TRUE,FALSE,"ANCOM-BC2 only"
"Stenotrophomonas",5.26982268175039,0.00971534018998765,0.0153159480642158,TRUE,TRUE,TRUE,0.00456502383183573,0.022583007911928,0.00613423130792866,0.0273582668271212,TRUE,TRUE,"Both"
"Loriellopsis LF-B5",5.18676416493545,0.0132720277569264,0.0204419737865303,TRUE,TRUE,TRUE,0.00244625844833475,0.0141614741154379,0.00216758724089345,0.0114181774282624,TRUE,TRUE,"Both"
"Unclassified_Blastocatellaceae",6.04192977382127,0.0131876384046089,0.0204419737865303,TRUE,FALSE,FALSE,0.610127791888239,0.70825101405204,0.555373132943331,0.665333399196566,FALSE,FALSE,"Neither"
"Sphingomonas",4.50945111374794,0.0155057006899229,0.0232273077005065,TRUE,FALSE,FALSE,0.0177777825951974,0.0620541672765159,0.0189997601923672,0.064480526336108,FALSE,FALSE,"Neither"
"Unclassified_Isosphaeraceae",4.86935447605665,0.0156004305451163,0.0232273077005065,TRUE,FALSE,FALSE,0.471654282544207,0.592516152279762,0.480882567321914,0.594336657376709,FALSE,FALSE,"Neither"
"Unclassified_Comamonadaceae",4.96667113581999,0.0154073886137997,0.0232273077005065,TRUE,FALSE,FALSE,0.789297818634996,0.847775592856464,0.888840151896397,0.921935329073854,FALSE,FALSE,"Neither"
"Unclassified_Vicinamibacteraceae",4.98285587679566,0.0173674705862014,0.0255740775664943,TRUE,FALSE,FALSE,0.186442474945886,0.307167221110397,0.202872263732758,0.322555601461267,FALSE,FALSE,"Neither"
"Burkholderia-Caballeronia-Paraburkholderia",4.51227958641098,0.019950772489433,0.0290587338433046,TRUE,FALSE,FALSE,0.258455073971623,0.406300750345932,0.292596266903749,0.432874122852424,FALSE,FALSE,"Neither"
"Unclassified_BIrii41",4.47588142153986,0.0212251497737792,0.0305824738675958,TRUE,TRUE,TRUE,0.00118989417691981,0.00883056854987257,0.000837977049777641,0.00515773870671431,TRUE,TRUE,"Both"
"Chthoniobacter",4.31241559228963,0.0255207480118392,0.0363806407828346,TRUE,TRUE,TRUE,0.0195215848271926,0.0665435218966109,0.0395755416983383,0.111313787428274,TRUE,FALSE,"ANCOM-BC2 only"
"Deinococcus",4.42940614211302,0.0259124943123478,0.0365502551353117,TRUE,TRUE,TRUE,0.0418339886643244,0.108035994353661,0.0749693575228296,0.149436645899682,TRUE,FALSE,"ANCOM-BC2 only"
"Methylopila",4.53528811698494,0.0279061894628957,0.0389523894586252,TRUE,FALSE,FALSE,0.47816550708794,0.605112518850716,0.535150684725271,0.654155141601956,FALSE,FALSE,"Neither"
"Bradyrhizobium",4.15877846497564,0.0312359972992525,0.0431507591556685,TRUE,TRUE,TRUE,0.000454858558006946,0.00503520188719571,0.0078113644394847,0.0323295483123189,TRUE,TRUE,"Both"
"Edaphobaculum",3.95322613395057,0.031569691252346,0.0431667206919833,TRUE,FALSE,FALSE,0.0246695902229839,0.0778865632992573,0.0552315491117016,0.128610276974882,FALSE,FALSE,"Neither"
"Thermoanaerobacterium",4.21210714764237,0.0326880430360676,0.0442444218872026,TRUE,TRUE,TRUE,0.0034410895235699,0.0174576822442185,0.00484412442848093,0.0190077772291866,TRUE,TRUE,"Both"
"Mucilaginibacter",3.83824663232123,0.0361670781661238,0.0484638847426059,TRUE,FALSE,FALSE,0.269112596354314,0.417780801884001,0.299010717834055,0.451208012429001,FALSE,FALSE,"Neither"
"Bosea",3.62258117291779,0.053586223382829,0.0710945933990008,FALSE,TRUE,FALSE,0.169366076525415,0.303569069261061,0.236348672189544,0.371579526969236,FALSE,FALSE,"Neither"
"Klebsiella",3.25282937534526,0.0648931929570401,0.0852518417278762,FALSE,TRUE,FALSE,0.0702867535475945,0.171665956531644,0.403341933245924,0.547752201663793,FALSE,FALSE,"Neither"
"Novosphingobium",3.07156305240028,0.0815000978231919,0.105009741426036,FALSE,FALSE,FALSE,0.033585189629599,0.0990203370970604,0.0710666489967611,0.153997599565004,FALSE,FALSE,"Neither"
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",3.04195379191701,0.0810044852808847,0.105009741426036,FALSE,TRUE,FALSE,0.760910637196487,0.828815924070811,0.874369526483363,0.911786060341879,FALSE,FALSE,"Neither"
"Kineosporia",2.95103079980229,0.0995495466699797,0.127044183369307,FALSE,FALSE,FALSE,0.00932930111933575,0.0375037313634568,0.0168558283651742,0.054378437417388,FALSE,TRUE,"ALDEx2 only"
"Parafilimonas",2.85501251914283,0.116638632054402,0.147448836748017,FALSE,FALSE,FALSE,0.00280503414289761,0.0156359216820829,0.00388142693981421,0.0177443959216475,FALSE,TRUE,"ALDEx2 only"
"Unclassified_Fimbriimonadaceae",2.61622407337901,0.13990322827963,0.175205912051125,FALSE,TRUE,FALSE,0.502531878249492,0.627201851745099,0.488503374246265,0.607218252075912,FALSE,FALSE,"Neither"
"Unclassified_Sandaracinaceae",2.65247020629805,0.147689451102315,0.18324431896028,FALSE,FALSE,FALSE,0.0122220358138788,0.0463038596784417,0.0151835659648329,0.0532554663672402,FALSE,TRUE,"ALDEx2 only"
"Neorhizobium",2.8850109473383,0.152300747486289,0.187232111588649,FALSE,TRUE,FALSE,0.361837958162261,0.491362809550297,0.359309690250892,0.486946174265135,FALSE,FALSE,"Neither"
"Legionella",2.63766157357982,0.155319815327311,0.189207775035087,FALSE,TRUE,FALSE,0.756081004246178,0.82467223944586,0.642014623281457,0.74207143074786,FALSE,FALSE,"Neither"
"Fimbriiglobus",2.5083017335365,0.158518954070258,0.191365223832563,FALSE,FALSE,FALSE,0.0518258205783864,0.134133083055669,0.0910769486019435,0.188008746805884,FALSE,FALSE,"Neither"
"Aurantisolimonas",2.47864355637803,0.168973944166719,0.202165254628038,FALSE,TRUE,FALSE,0.908210195228796,0.932239429782198,0.811894579344917,0.86591498876682,FALSE,FALSE,"Neither"
"Unclassified_WD2101 soil group",0.177974101505597,0.179289803714379,0.212609147767494,FALSE,FALSE,FALSE,0.132296708668486,0.259651025773612,0.0932824715868251,0.203088947778507,FALSE,FALSE,"Neither"
"Unclassified_Pirellulaceae",2.39977557910893,0.181461301968623,0.213296618103469,FALSE,FALSE,FALSE,0.0179566981256953,0.0568862624746763,0.01219114914248,0.0440049839339233,FALSE,FALSE,"Neither"
"Unclassified_Ilumatobacteraceae",2.14048350834756,0.257536112339022,0.300085556986339,FALSE,TRUE,FALSE,0.679308653304465,0.762349656545017,0.654141640731722,0.745204433466134,FALSE,FALSE,"Neither"
"Hyphomicrobium",2.09943420040122,0.264819211655517,0.30591184794689,FALSE,TRUE,FALSE,0.756674616445092,0.82053649745983,0.690593071555058,0.771863575478224,FALSE,FALSE,"Neither"
"Unclassified_SM2D12",1.9503519190228,0.292555163418861,0.335063178616473,FALSE,TRUE,FALSE,0.401679377460897,0.536658686213586,0.525171097771803,0.643551662453706,FALSE,FALSE,"Neither"
"Abditibacterium",1.85364686868306,0.322656930980198,0.366407023316496,FALSE,TRUE,FALSE,0.531900381505244,0.645378606445422,0.489089905250655,0.602951891929854,FALSE,FALSE,"Neither"
"Spirosoma",1.8093491295819,0.325821618418975,0.366891570320526,FALSE,TRUE,FALSE,0.687614258122156,0.774940144359589,0.659747626398425,0.758328526138941,FALSE,FALSE,"Neither"
"Bdellovibrio",1.77618045357431,0.345896154729414,0.386250706114512,FALSE,FALSE,FALSE,0.0868569290324863,0.190657270535544,0.102927475436298,0.202659911839638,FALSE,FALSE,"Neither"
"Unclassified_Rickettsiaceae",1.83143176306784,0.355168323502978,0.393326903714042,FALSE,TRUE,FALSE,0.56798830340382,0.671317279352112,0.604583579426311,0.70497591119985,FALSE,FALSE,"Neither"
"Flavisolibacter",1.61199092699586,0.439591600219988,0.478904670158361,FALSE,FALSE,FALSE,0.125085421636703,0.247116282619046,0.112531560442353,0.219549554205243,FALSE,FALSE,"Neither"
"Unclassified_Solimonadaceae",0.362841808611562,0.439429038888865,0.478904670158361,FALSE,FALSE,FALSE,0.201672370440615,0.336748528791782,0.222352188543211,0.35267992093668,FALSE,FALSE,"Neither"
"Rhizorhapis",1.47787678020962,0.495985925339026,0.535984790285721,FALSE,TRUE,FALSE,0.260547591866003,0.401507925977689,0.259694517640776,0.39019278619625,FALSE,FALSE,"Neither"
"Ellin6055",1.39850728477258,0.532995103809084,0.571370751283338,FALSE,TRUE,FALSE,0.729650708811572,0.80408313629552,0.718697714507976,0.798537717682913,FALSE,FALSE,"Neither"
"Sphingoaurantiacus",1.27181187786948,0.604927557542309,0.643335656433884,FALSE,FALSE,FALSE,0.253032852884986,0.401620510150521,0.168794184093967,0.30787272788799,FALSE,FALSE,"Neither"
"Gemmata",1.2128613426027,0.642912072850084,0.678348171353632,FALSE,FALSE,FALSE,0.0596459175873204,0.148925674167382,0.162539682910651,0.302552238953263,FALSE,FALSE,"Neither"
"Unclassified_env.OPS 17",1.22279737258822,0.657466535211373,0.688285279049406,FALSE,FALSE,FALSE,0.052265144224712,0.128411691922904,0.128871540363075,0.229233109197735,FALSE,FALSE,"Neither"
"Pajaroellobacter",1.11325173875594,0.718385701319897,0.7462301083478,FALSE,TRUE,FALSE,0.166047481868855,0.299788710500509,0.320747081494443,0.462453828731832,FALSE,FALSE,"Neither"
"Blastocatella",0.582617645299517,0.737938515337467,0.760644315809389,FALSE,TRUE,FALSE,0.474229866213454,0.602956610167905,0.584794750895459,0.6956354613842,FALSE,FALSE,"Neither"
"Unclassified_Chitinophagaceae",0.996112219775763,0.811446051561587,0.830028785566814,FALSE,TRUE,FALSE,0.909209059982629,0.932620393907296,0.680218118740382,0.77330695686006,FALSE,FALSE,"Neither"
"Aridibacter",0.953468209777037,0.86409286871835,0.877185184911053,FALSE,FALSE,FALSE,0.0254976706080173,0.0801973448112997,0.0355044337429554,0.0938794549568678,FALSE,FALSE,"Neither"
